Noneating,Eating
-0.004318925,0.068711998
-0.002244077,0.279793148
-0.002707569,-0.119235391
0.018574664,0.261370366
-0.017063249,0.205512944
0.008078275,0.192196241
0.002538096,0.218063681
0.004854291,0.03445779
0.002323138,0.173228468
-0.002916852,0.142546864
0.004981844,0.112696912
0.001495049,0.048689408
0.003242656,0.143529214
0.005090264,0.182135237
0.002346416,0.044049523
0.0031753,0.318413083
0.003711119,0.450880282
0.012391836,0.330779169
0.000738536,0.082381648
0.006221938,0.080099047
0.005618956,0.367426014
-0.002475232,0.152282465
0.002259517,0.285741849
0.001326608,0.212353626
-0.001895199,0.337220308
-0.001532127,0.499784178
0.009732738,0.159847699
-0.004447,0.358380885
0.002230761,0.326702248
0.005972898,0.386671282
0.004909563,0.272987346
0.001436013,0.289145182
0.001598628,0.405530364
0.007373136,0.146972917
0.00149636,0.094745419
0.001730611,0.182993743
-0.001775041,0.38919745
0.012614135,0.348759431
0.002551748,0.346389514
0.001231872,0.333050712
-0.00381496,0.643146838
0.003596405,0.623890379
0.005768083,0.320226405
-0.002843668,0.285907938
0.000759067,0.504133129
0.004500567,0.560769468
-0.006615525,0.216686809
-0.005913204,0.637596127
0.000943841,0.449713048
0.012498299,0.14679072
0.00668113,0.433052781
-0.004296472,0.323090592
-0.013990893,0.371160516
0.005068967,0.499930804
0.007461569,0.467196841
0.003853526,0.404714424
0.003475224,0.287400699
0.003576071,0.319764577
-0.011976504,0.500869041
-0.001539923,0.247590071
0.008039997,0.329852063
0.003854253,0.438469338
-0.00357985,0.344475547
-0.008335177,0.463775259
0.006468506,0.392175533
0.003919709,0.403774878
0.000151672,0.192408085
0.001170858,0.298362369
0.001778339,0.030688966
0.00047375,0.054239863
0.001062105,0.032382681
-0.008396949,0.081737589
0.004862054,0.340346966
0.002385299,0.294117405
0.000719757,0.104025216
0.002931895,0.144865576
0.002170147,0.167202016
-0.000587311,0.305965613
-0.000282087,0.14424254
0.000548103,-0.005459813
0.002504525,0.356708826
-0.002312566,0.38446486
0.001534793,0.16403526
-0.001185314,-0.060815923
0.002900948,0.38585635
-3.03E-05,0.301867519
0.001777588,0.324345076
0.002142974,0.110493014
0.000810758,-0.246961966
0.001208118,0.270474556
0.001834313,0.017056841
0.000815985,0.036741542
0.001341868,0.213349051
0.002428659,0.393882698
0.001099292,0.048388962
-0.000520947,-0.23794301
-0.000112824,0.160740739
0.002725227,0.516512964
0.001801664,-0.036275646
-8.03E-05,-0.008850174
0.003746558,0.17334991
0.002519097,0.317778649
0.00321893,0.146120943
0.001157252,-0.154862207
0.002074787,0.391951597
-0.001924605,0.040836531
-0.000125256,0.203482219
0.002470372,0.108125089
0.003203754,0.024809854
0.001658528,0.395283295
0.002713956,0.305419934
0.003164048,0.049438456
0.001809504,0.027220913
0.002943577,0.109268614
0.001826749,0.174385099
0.000446252,0.005767984
0.006826942,0.186765113
0.002601503,0.226628027
0.001022444,0.22373055
0.002092113,-0.021077285
