isEating, maxMin, dwt, slope, fourier, median
1,0.072,-19.97576657,0.226628027,3636,5.25
1,0.083,-29.21199534,0.22373055,2731,-11.312
1,0.014,-15.15895518,-0.021077285,1157,2.3435
1,0.024,-5.878178672,-0.163443306,1200,1.906
1,0.025,-17.76676498,0.254160124,1757,-0.7185
1,0.076,-24.48286519,0.346864181,1645,-13.75
1,0.06,-24.92551404,0.323282001,1978,-6.7815
1,0.054,-27.2681588,0.26319869,1078,-7.938
1,0.035,-26.51650429,0.358106096,2114,-1.125
1,0.073,-26.73782872,0.330011335,3720,-15.688
1,0.036,-17.01511048,0.124583486,1575,-5.125
1,0.038,-27.35654715,0.19520272,1998,-3.312
1,0.046,-16.44023266,0.33650756,1993,-1.312
1,0.044,-15.15895518,0.45844399,3282,-8.125
1,0.025,-11.53432581,0.014932185,2275,0.188
1,0.024,-24.52812003,-0.081158024,1524,-5.4065
1,0.028,-24.3060885,0.240756814,6475,-0.5935
1,0.088,-46.66904756,0.528814898,12340,-5.812
1,0.049,-11.53432581,0.158282426,1094,-9.562
1,0.029,-21.69898579,0.113741675,1111,-1.812
1,0.021,-21.03642674,0.280531892,3657,-3.313
1,0.038,-15.29047704,0.445741437,5064,-4.219
1,0.003,-7.513716657,-0.377970154,2048,7.125
1,0.013,-16.79378605,-0.296599883,3216,1.188
1,0.035,-43.3993858,0.441962004,5051,3.125
1,0.051,-26.87005769,0.514135999,616,-14.219
1,0.055,-17.54544056,0.242429443,2924,-8.188
1,0.032,-20.50609665,-0.077218913,1722,-1.5
1,0.026,-27.75394116,0.531635197,1994,-3.469
1,0.051,-22.09708691,0.403039901,6162,-4.375
1,0.042,-22.84803431,0.328754418,1258,-7.5
1,0.031,-23.15774708,0.266044981,1046,-2.312
1,0.079,-59.08725685,-0.066543693,15159,0.0935
1,0.221,-21.21320344,-0.000460723,114340,-1.188
1,0.217,-21.21320344,0.001975082,257692,-1.188
1,0.238,-24.79328507,0.001875338,331737,-0.812
1,0.324,-25.89849297,0.000740532,447197,-0.625
1,0.34,-28.9468303,0.000291999,602457,-0.75
1,0.328,-29.56625584,0.000232808,678120,-0.625
1,0.332,-32.262454,0.000268897,785190,-0.562
1,0.347,-33.67596045,0.000146761,954382,-0.562
1,0.359,-35.44372741,0.000168032,1051870,-0.688
1,0.359,-35.53211575,7.04E-05,1128373,-0.625
1,0.369,-36.90178159,0.000153636,1121426,-0.562
1,0.376,-37.91860114,0.000195328,1194382,-0.562
1,0.39,-38.49277185,0.000244277,1303841,-0.5935
1,0.39,-39.24442636,0.000234068,1481693,-0.688
1,0.39,-39.24442636,0.000240059,1466393,-0.562
1,0.401,-39.73091582,0.000206,1498083,-0.562
1,0.426,-39.28826698,0.000203884,1544276,-0.5
1,0.434,-39.95153314,0.00023959,1401673,-0.75
1,0.434,-41.32119897,0.000225031,1451094,-0.562
1,0.468,-41.80768844,0.000200207,1511626,-0.688
1,0.473,-41.80768844,0.000146745,1575451,-0.75
1,0.473,-41.32119897,0.000192343,1630253,-0.688
1,0.477,-42.60318357,0.00019341,1673172,-0.688
1,0.48,-42.20578956,0.000157465,1598525,-0.75
1,0.477,-42.55863584,0.000105624,1641695,-0.75
1,0.475,-43.62000312,0.000106993,1702127,-0.75
1,0.477,-44.28256217,0.000106244,1882544,-0.688
1,0.481,-43.62000312,0.000126907,1773123,-0.688
1,0.485,-43.57545539,0.000123888,1815451,-0.75
1,0.485,-43.57545539,0.000140868,1866904,-0.688
1,0.481,-44.28256217,0.000111729,1926493,-0.625
1,0.481,-43.79677981,8.74E-05,1976319,-0.688
1,0.481,-44.06123775,8.11E-05,2049349,-0.688
1,0.481,-44.06123775,9.30E-05,2079192,-0.688
1,0.477,-44.63611556,7.09E-05,2124185,-0.562
1,0.489,-45.52070615,7.23E-05,2155793,-0.625
1,0.492,-45.69677573,6.56E-05,2175997,-0.688
1,0.489,-45.47545131,8.36E-05,2223604,-0.688
1,0.485,-45.91739305,8.41E-05,1968468,-0.688
1,0.229,-31.81980515,-0.013494894,10027,-0.312
1,0.258,-44.1503332,-0.006119807,28572,-0.125
1,0.255,-44.46004597,-0.005836292,43773,-0.125
1,0.27,-47.50909041,-0.000927129,64343,0.188
1,0.294,-46.0057814,-0.00024064,83168,0.188
1,0.312,-49.94012353,0.000742721,117690,-0.125
1,0.292,-47.81809608,0.000134572,147475,-0.312
1,0.291,-49.27615026,0.000329602,172190,-0.125
1,0.332,-51.88466718,0.000160024,192260,-0.438
1,0.352,-51.70718337,0.000329578,214877,-0.562
1,0.353,-52.85623189,0.000541873,236557,-0.562
1,0.358,-54.80077554,0.000563205,254236,-0.375
1,0.405,-54.80077554,0.000491844,277010,-0.688
1,0.416,-54.80077554,0.000534403,297252,-0.875
1,0.4,-53.47565743,0.0006052,328228,-0.938
1,0.4,-53.20978528,0.000755987,349798,-0.625
1,0.416,-54.80077554,0.00080134,376229,-0.625
1,0.421,-56.74531919,0.000760064,396086,-0.875
1,0.418,-56.74531919,0.000697491,416284,-0.812
1,0.418,-57.05503196,0.000707629,433390,-0.5
1,0.423,-56.48086125,0.000629689,450690,-0.625
1,0.422,-56.48086125,0.000605144,475286,-0.688
1,0.42,-56.74531919,0.000575076,498940,-0.75
1,0.423,-56.48086125,0.000506688,523255,-0.688
1,0.429,-54.80077554,0.000534451,548145,-0.688
1,0.429,-56.65693084,0.000511423,579709,-0.875
1,0.432,-55.24271728,0.000471228,601489,-0.875
1,0.426,-54.80077554,0.00043371,626057,-0.75
1,0.426,-55.24271728,0.000369366,645601,-0.625
1,0.426,-55.24271728,0.000321057,667339,-0.625
1,0.426,-55.24271728,0.000335971,684062,-0.688
1,0.426,-54.84532327,0.000326234,703427,-0.625
1,0.426,-56.65693084,0.000305263,722513,-0.562
1,0.426,-56.74531919,0.000262464,749203,-0.625
1,0.43,-56.74531919,0.000263219,764833,-0.562
1,0.429,-56.74531919,0.000248147,791677,-0.438
1,0.426,-57.49626659,0.00022959,826116,-0.5
1,0.426,-57.76213874,0.000218954,853349,-0.5
1,0.429,-58.02659668,0.000258,876101,-0.562
1,0.427,-57.76213874,0.000249236,905588,-0.438
1,0.137,-47.15553702,-0.315424586,930,-22.312
1,0.074,-30.36175097,0.214778478,976,-10.0315
1,0.023,-11.26986788,0.062603098,928,-2.188
1,0.021,-2.828427125,0.161619083,452,-0.781
1,0.04,-4.198800067,0.018461384,475,-1.312
1,0.087,-95.28263876,-0.187829675,2267,-23.25
1,0.048,-11.97697466,-0.139050363,910,-1.625
1,0.049,-63.55122196,-0.602515041,1857,-13.25
1,0.008,-9.456846092,0.173111636,591,0.312
1,0.008,-16.74994543,0.057677901,263,-3.75
1,0.028,-23.90940159,-0.827634541,1678,-7.719
1,0.015,-5.523918175,-0.17986222,400,1.5315
1,0.011,-12.81631041,0.083093087,583,-0.656
1,0.064,-1.989091375,-0.104217752,640,2.688
1,0.023,-42.82380088,-0.493830917,587,-10.156
1,0.01,-11.40209685,0.062931645,679,-0.1565
1,0.133,-22.40609258,0.50144435,2248,-13
1,0.048,-58.42399069,-0.007064249,3282,-19.719
1,0.033,-29.25725018,0.232526373,981,-11.375
1,0.038,-12.33052805,-0.23694507,415,-7.469
1,0.087,-45.29938172,-0.246166316,719,-19.469
1,0.037,-13.43502884,0.12749457,1991,-8.375
1,0.012,-5.126524164,0.015530371,651,-0.5935
1,0.018,-16.30800369,-0.178570387,1153,-0.625
1,0.058,-38.93542069,-0.043015229,1867,-8.625
1,0.08,-24.61580127,0.101113756,752,-11.25
1,0.036,-11.18147953,0.086705137,483,-1.875
1,0.126,-42.47024749,-0.163193971,1826,-10.062
1,0.008,-5.480077554,0.038380883,333,0.9065
1,0.035,-7.82272232,0.635549188,1527,-0.25
1,0.067,-39.81859706,-0.009721538,935,-7.8435
1,0.017,-2.165868071,0.074381607,311,0.125
1,0.028,-55.59627067,-0.516240158,2701,-2.688
1,0.057,-12.86085814,0.047683451,648,-7.188
1,0.016,-24.43902457,0.150029236,1280,-7.1565
1,0.105,-20.37316058,0.128504983,959,-27.2185
1,0.008,-5.215619618,0.051671814,429,-0.875
1,0.011,-20.72742108,-0.083425595,495,-3.1875
1,0.005,-20.55064438,-0.028343688,682,-2
1,0.063,-57.76213874,-0.108143314,1409,-12.25
1,0.032,-19.88808533,-0.388481061,1545,0.375
1,0.015,-23.02551812,0.19491677,1923,-1
1,0.02,-22.58357638,0.6474871,4240,0.719
1,0.019,-6.451642272,-0.070031031,586,-2.0315
1,0.069,-17.0589511,0.40995618,610,-6.5935
1,0.061,-30.00749047,0.25339133,839,-9.8125
1,0.042,-18.9151064,0.227666799,1023,-6.312
1,0.032,-7.645945625,-0.024920795,367,-7.9375
1,0.012,-5.391689207,-0.166889137,344,1.187
1,0.014,-4.375576762,0.416777552,1182,2.344
1,0.05,-25.2345197,0.328891581,4296,-5.75
1,0.046,-7.291685128,0.424464178,807,4.75
1,0.068,-9.766558862,0.226593912,1008,-12.75
1,0.017,-15.46796084,0.396782181,1382,-4.75
