TS,OW,OX,OY,OZ,AX,AY,AZ,GX,GY,GZ,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,
1.50353E+12,0.879564895,0.365904366,0.008168365,0.079621399,0.41240305,0.639308929,0.135779013,0.597221102,0.430894162,0.378708008,0.479757062,0.558624053,0.656501843,0.74821931,0.947477362,0.454771217,0.524021541,0.585317301,0
1.50353E+12,0.879564895,0.365904366,0.005886389,0.079621399,0.429611789,0.662522867,0.124224144,0.588629086,0.454056739,0.389918007,0.435994974,0.501690226,0.473971713,0.444770726,0.441860232,0.44339539,0.528077958,0.670105154,0
1.50353E+12,0.879564895,0.365904366,0.005326713,0.079621399,0.427024564,0.660169222,0.126655202,0.590397382,0.450209637,0.388761924,0.449425532,0.494334802,0.471207903,0.432995189,0.442539579,0.433628536,0.539134752,0.679372197,0
1.50353E+12,0.879564895,0.365904366,0.004035175,0.079621399,0.431280463,0.657574629,0.122702215,0.590507564,0.450584316,0.387219059,0.458026298,0.510101803,0.473018449,0.446862986,0.482222253,0.435465312,0.514382015,0.67718062,0
1.50353E+12,0.879564895,0.365904366,0.00405198,0.079621399,0.426816653,0.662847141,0.125445725,0.590271804,0.452542639,0.389552902,0.460528056,0.507772494,0.475547873,0.443284739,0.476764438,0.432495921,0.512712122,0.671390291,0
1.50353E+12,0.879564895,0.365904366,0.004056856,0.079621399,0.429177876,0.658541943,0.126332314,0.590803016,0.449689058,0.389656614,0.454924254,0.506663608,0.476380532,0.447745279,0.472631023,0.430686635,0.503304176,0.675862694,0
1.50353E+12,0.879564895,0.365904366,0.00405766,0.079621399,0.432520236,0.66122271,0.125896232,0.589013077,0.451764078,0.389208274,0.457300833,0.511655409,0.470186445,0.445975355,0.476020083,0.431273445,0.517318348,0.672164864,0
1.50353E+12,0.879564895,0.365904366,0.004057653,0.079621399,0.428462881,0.660097802,0.123618056,0.588952696,0.447970107,0.391002234,0.462244767,0.509594174,0.46121341,0.435076261,0.475779407,0.427547675,0.522526143,0.675755191,0
1.50353E+12,0.879564895,0.365904366,0.004057647,0.079621399,0.426486061,0.661192008,0.124269633,0.591194039,0.448612144,0.390521066,0.462729281,0.51298448,0.468981938,0.445228899,0.469242768,0.427482801,0.516541596,0.672267047,0
1.50353E+12,0.879564895,0.365904366,0.004057646,0.079621399,0.430234329,0.658429028,0.125678148,0.591617732,0.44816826,0.388948843,0.463362519,0.512716544,0.475480331,0.446916482,0.457532807,0.425369529,0.516780114,0.683778686,0
